MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB,MTRCS_F_11.03.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.03.1,MTRCS_F_11.03.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.03.1
ECB,MTRCS_F_13.03.1.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.03.1.b,MTRCS_F_13.03.1.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.03.1.b
ECB,15873869302575820389_REF,EBA_ATY(EBA_md104) - Reference,15873869302575820389_REF,EBA_ATY(EBA_md104) - Reference
ECB,MTRCS_F_25.02.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.02.b,MTRCS_F_25.02.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.02.b
ECB,MTRCS_F_04.10_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.10,MTRCS_F_04.10_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.10
ECB,14201322484001342695_REF,EBA_ATY(EBA_mi7) - Reference,14201322484001342695_REF,EBA_ATY(EBA_mi7) - Reference
ECB,16769790065540687312_REF,EBA_ATY(EBA_md114) - Reference,16769790065540687312_REF,EBA_ATY(EBA_md114) - Reference
ECB,MTRCS_F_16.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.03,MTRCS_F_16.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.03
ECB,MTRCS_F_08.01.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_08.01.a,MTRCS_F_08.01.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_08.01.a
ECB,MTRCS_F_25.01.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.01.c,MTRCS_F_25.01.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.01.c
ECB,5683672298719308419_REF,EBA_ATY(EBA_mi191) - Reference,5683672298719308419_REF,EBA_ATY(EBA_mi191) - Reference
ECB,17911574528201435670_REF,EBA_ATY(EBA_md515) - Reference,17911574528201435670_REF,EBA_ATY(EBA_md515) - Reference
ECB,13098072663541273355_REF,EBA_ATY(EBA_md199) - Reference,13098072663541273355_REF,EBA_ATY(EBA_md199) - Reference
ECB,14747351583251506353_REF,EBA_ATY(EBA_mi340) - Reference,14747351583251506353_REF,EBA_ATY(EBA_mi340) - Reference
ECB,3643522002986617066_REF,EBA_ATY(EBA_md14) - Reference,3643522002986617066_REF,EBA_ATY(EBA_md14) - Reference
ECB,14959619857164496646_REF,EBA_ATY(EBA_si476) - Reference,14959619857164496646_REF,EBA_ATY(EBA_si476) - Reference
ECB,MTRCS_F_04.05_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.05,MTRCS_F_04.05_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.05
ECB,MTRCS_F_17.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_17.02,MTRCS_F_17.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_17.02
ECB,14260327667032302333_REF,EBA_ATY(EBA_mi135) - Reference,14260327667032302333_REF,EBA_ATY(EBA_mi135) - Reference
ECB,MTRCS_F_24.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_24.02,MTRCS_F_24.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_24.02
ECB,MTRCS_F_18.00.d_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.00.d,MTRCS_F_18.00.d_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.00.d
ECB,MTRCS_F_04.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.01,MTRCS_F_04.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.01
ECB,11155752204717548458_REF,EBA_ATY(EBA_mi678) - Reference,11155752204717548458_REF,EBA_ATY(EBA_mi678) - Reference
ECB,MTRCS_F_19.00.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.c,MTRCS_F_19.00.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.c
ECB,15281074544004834307_REF,EBA_ATY(EBA_mi688) - Reference,15281074544004834307_REF,EBA_ATY(EBA_mi688) - Reference
ECB,MTRCS_F_01.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_01.01,MTRCS_F_01.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_01.01
ECB,MTRCS_F_17.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_17.01,MTRCS_F_17.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_17.01
ECB,15763738987323879028_REF,EBA_ATY(EBA_mi45) - Reference,15763738987323879028_REF,EBA_ATY(EBA_mi45) - Reference
ECB,10755392938081896465_REF,EBA_ATY(EBA_md12) - Reference,10755392938081896465_REF,EBA_ATY(EBA_md12) - Reference
ECB,9509836001316662777_REF,EBA_ATY(EBA_di113) - Reference,9509836001316662777_REF,EBA_ATY(EBA_di113) - Reference
ECB,MTRCS_F_45.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_45.01,MTRCS_F_45.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_45.01
ECB,1017416816873666741_REF,EBA_ATY(EBA_mi770) - Reference,1017416816873666741_REF,EBA_ATY(EBA_mi770) - Reference
ECB,6750364677940919480_REF,EBA_ATY(EBA_md200) - Reference,6750364677940919480_REF,EBA_ATY(EBA_md200) - Reference
ECB,MTRCS_F_10.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_10.00,MTRCS_F_10.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_10.00
ECB,MTRCS_F_11.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.02,MTRCS_F_11.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.02
ECB,2508521452773937215_REF,EBA_ATY(EBA_mi35) - Reference,2508521452773937215_REF,EBA_ATY(EBA_mi35) - Reference
ECB,16261088245049810175_REF,EBA_ATY(EBA_md686) - Reference,16261088245049810175_REF,EBA_ATY(EBA_md686) - Reference
ECB,MTRCS_F_11.04_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.04,MTRCS_F_11.04_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.04
ECB,MTRCS_F_07.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_07.02,MTRCS_F_07.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_07.02
ECB,17626844296030320267_REF,EBA_ATY(EBA_ri769) - Reference,17626844296030320267_REF,EBA_ATY(EBA_ri769) - Reference
ECB,MTRCS_F_23.04_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.04,MTRCS_F_23.04_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.04
ECB,MTRCS_F_04.02.2_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.02.2,MTRCS_F_04.02.2_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.02.2
ECB,725273257492148005_REF,EBA_ATY(EBA_mi172) - Reference,725273257492148005_REF,EBA_ATY(EBA_mi172) - Reference
ECB,MTRCS_F_00.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_00.01,MTRCS_F_00.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_00.01
ECB,MTRCS_F_16.04.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.04.1,MTRCS_F_16.04.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.04.1
ECB,6056665978884242883_REF,EBA_ATY(EBA_ei138) - Reference,6056665978884242883_REF,EBA_ATY(EBA_ei138) - Reference
ECB,16556802154542118490_REF,EBA_ATY(EBA_mi9) - Reference,16556802154542118490_REF,EBA_ATY(EBA_mi9) - Reference
ECB,MTRCS_F_40.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_40.02,MTRCS_F_40.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_40.02
ECB,MTRCS_F_13.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.01,MTRCS_F_13.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.01
ECB,13342484621215892839_REF,EBA_ATY(EBA_md201) - Reference,13342484621215892839_REF,EBA_ATY(EBA_md201) - Reference
ECB,8151035684663916366_REF,EBA_ATY(EBA_md105) - Reference,8151035684663916366_REF,EBA_ATY(EBA_md105) - Reference
ECB,988632928423637155_REF,EBA_ATY(EBA_ei365) - Reference,988632928423637155_REF,EBA_ATY(EBA_ei365) - Reference
ECB,5124173598708528704_REF,EBA_ATY(EBA_md514) - Reference,5124173598708528704_REF,EBA_ATY(EBA_md514) - Reference
ECB,MTRCS_F_03.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_03.00,MTRCS_F_03.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_03.00
ECB,15582466232844993095_REF,EBA_ATY(EBA_mi129) - Reference,15582466232844993095_REF,EBA_ATY(EBA_mi129) - Reference
ECB,MTRCS_F_19.00.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.b,MTRCS_F_19.00.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.b
ECB,MTRCS_F_09.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_09.02,MTRCS_F_09.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_09.02
ECB,8000921335479731010_REF,EBA_ATY(EBA_md516) - Reference,8000921335479731010_REF,EBA_ATY(EBA_md516) - Reference
ECB,MTRCS_F_16.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.02,MTRCS_F_16.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.02
ECB,6691857468719214238_REF,EBA_ATY(EBA_mi697) - Reference,6691857468719214238_REF,EBA_ATY(EBA_mi697) - Reference
ECB,MTRCS_F_09.01.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_09.01.1,MTRCS_F_09.01.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_09.01.1
ECB,4036245234541037893_REF,EBA_ATY(EBA_md511) - Reference,4036245234541037893_REF,EBA_ATY(EBA_md511) - Reference
ECB,MTRCS_F_12.01.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_12.01.b,MTRCS_F_12.01.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_12.01.b
ECB,2990176717101267012_REF,EBA_ATY(EBA_md512) - Reference,2990176717101267012_REF,EBA_ATY(EBA_md512) - Reference
ECB,11294697816498749024_REF,EBA_ATY(EBA_ei218) - Reference,11294697816498749024_REF,EBA_ATY(EBA_ei218) - Reference
ECB,16884332320913229156_REF,EBA_ATY(EBA_md73) - Reference,16884332320913229156_REF,EBA_ATY(EBA_md73) - Reference
ECB,MTRCS_F_41.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_41.01,MTRCS_F_41.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_41.01
ECB,MTRCS_F_08.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_08.02,MTRCS_F_08.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_08.02
ECB,MTRCS_F_20.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.06,MTRCS_F_20.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.06
ECB,MTRCS_F_11.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.03,MTRCS_F_11.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_11.03
ECB,MTRCS_F_40.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_40.01,MTRCS_F_40.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_40.01
ECB,MTRCS_F_07.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_07.01,MTRCS_F_07.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_07.01
ECB,MTRCS_F_22.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_22.02,MTRCS_F_22.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_22.02
ECB,3513660512628058048_REF,EBA_ATY(EBA_mi507) - Reference,3513660512628058048_REF,EBA_ATY(EBA_mi507) - Reference
ECB,9346864144406551648_REF,EBA_ATY(EBA_mi195) - Reference,9346864144406551648_REF,EBA_ATY(EBA_mi195) - Reference
ECB,MTRCS_F_04.04.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.04.1,MTRCS_F_04.04.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.04.1
ECB,MTRCS_F_31.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_31.02,MTRCS_F_31.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_31.02
ECB,14843193351371296448_REF,EBA_ATY(EBA_mi134) - Reference,14843193351371296448_REF,EBA_ATY(EBA_mi134) - Reference
ECB,MTRCS_F_25.02.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.02.c,MTRCS_F_25.02.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.02.c
ECB,15280305744003944858_REF,EBA_ATY(EBA_md149) - Reference,15280305744003944858_REF,EBA_ATY(EBA_md149) - Reference
ECB,10310548703140933600_REF,EBA_ATY(EBA_mi696) - Reference,10310548703140933600_REF,EBA_ATY(EBA_mi696) - Reference
ECB,MTRCS_F_02.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_02.00,MTRCS_F_02.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_02.00
ECB,MTRCS_F_45.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_45.02,MTRCS_F_45.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_45.02
ECB,MTRCS_F_25.03.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.03.b,MTRCS_F_25.03.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.03.b
ECB,4433237475396205970_REF,EBA_ATY(EBA_md683) - Reference,4433237475396205970_REF,EBA_ATY(EBA_md683) - Reference
ECB,11048243512134927963_REF,EBA_ATY(EBA_md70) - Reference,11048243512134927963_REF,EBA_ATY(EBA_md70) - Reference
ECB,MTRCS_F_46.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_46.00,MTRCS_F_46.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_46.00
ECB,MTRCS_F_05.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_05.01,MTRCS_F_05.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_05.01
ECB,10021977646305939201_REF,EBA_ATY(EBA_mi692) - Reference,10021977646305939201_REF,EBA_ATY(EBA_mi692) - Reference
ECB,MTRCS_F_25.02.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.02.a,MTRCS_F_25.02.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.02.a
ECB,MTRCS_F_13.03.1.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.03.1.a,MTRCS_F_13.03.1.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.03.1.a
ECB,MTRCS_F_08.01.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_08.01.b,MTRCS_F_08.01.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_08.01.b
ECB,3022830411552321978_REF,EBA_ATY(EBA_mi693) - Reference,3022830411552321978_REF,EBA_ATY(EBA_mi693) - Reference
ECB,14683086469168280223_REF,EBA_ATY(EBA_si477) - Reference,14683086469168280223_REF,EBA_ATY(EBA_si477) - Reference
ECB,MTRCS_F_18.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.01,MTRCS_F_18.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.01
ECB,2586680230449591099_REF,EBA_ATY(EBA_mi109) - Reference,2586680230449591099_REF,EBA_ATY(EBA_mi109) - Reference
ECB,1874545491917404562_REF,EBA_ATY(EBA_mi506) - Reference,1874545491917404562_REF,EBA_ATY(EBA_mi506) - Reference
ECB,MTRCS_F_23.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.02,MTRCS_F_23.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.02
ECB,4934147852933068593_REF,EBA_ATY(EBA_md140) - Reference,4934147852933068593_REF,EBA_ATY(EBA_md140) - Reference
ECB,MTRCS_F_09.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_09.01,MTRCS_F_09.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_09.01
ECB,3306936036550784077_REF,EBA_ATY(EBA_md108) - Reference,3306936036550784077_REF,EBA_ATY(EBA_md108) - Reference
ECB,MTRCS_F_25.03.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.03.a,MTRCS_F_25.03.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.03.a
ECB,8732297734646917219_REF,EBA_ATY(EBA_md59) - Reference,8732297734646917219_REF,EBA_ATY(EBA_md59) - Reference
ECB,MTRCS_F_44.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_44.02,MTRCS_F_44.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_44.02
ECB,1777643580690892578_REF,EBA_ATY(EBA_md254) - Reference,1777643580690892578_REF,EBA_ATY(EBA_md254) - Reference
ECB,14010685629810865207_REF,EBA_ATY(EBA_md203) - Reference,14010685629810865207_REF,EBA_ATY(EBA_md203) - Reference
ECB,MTRCS_F_16.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.06,MTRCS_F_16.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.06
ECB,3580546362157940484_REF,EBA_ATY(EBA_md675) - Reference,3580546362157940484_REF,EBA_ATY(EBA_md675) - Reference
ECB,MTRCS_F_04.07_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.07,MTRCS_F_04.07_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.07
ECB,MTRCS_F_04.03.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.03.1,MTRCS_F_04.03.1_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.03.1
ECB,14543394195450354929_REF,EBA_ATY(EBA_md510) - Reference,14543394195450354929_REF,EBA_ATY(EBA_md510) - Reference
ECB,7063043392329280990_REF,EBA_ATY(EBA_mi503) - Reference,7063043392329280990_REF,EBA_ATY(EBA_mi503) - Reference
ECB,MTRCS_F_26.00.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_26.00.b,MTRCS_F_26.00.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_26.00.b
ECB,MTRCS_F_23.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.03,MTRCS_F_23.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_23.03
ECB,17738000420872972734_REF,EBA_ATY(EBA_ii676) - Reference,17738000420872972734_REF,EBA_ATY(EBA_ii676) - Reference
ECB,MTRCS_F_41.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_41.02,MTRCS_F_41.02_MTRCS_REF,Variable Set for MTRCS of the Cube F_41.02
ECB,9338417940411742131_REF,EBA_ATY(EBA_md150) - Reference,9338417940411742131_REF,EBA_ATY(EBA_md150) - Reference
ECB,5018436799317893249_REF,EBA_ATY(EBA_si475) - Reference,5018436799317893249_REF,EBA_ATY(EBA_si475) - Reference
ECB,MTRCS_F_18.00.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.00.b,MTRCS_F_18.00.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.00.b
ECB,9488831869283455922_REF,EBA_ATY(EBA_md147) - Reference,9488831869283455922_REF,EBA_ATY(EBA_md147) - Reference
ECB,MTRCS_F_19.00.d_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.d,MTRCS_F_19.00.d_MTRCS_REF,Variable Set for MTRCS of the Cube F_19.00.d
ECB,MTRCS_F_18.00.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.00.c,MTRCS_F_18.00.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.00.c
ECB,MTRCS_F_25.01.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.01.b,MTRCS_F_25.01.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.01.b
ECB,4034868948470850090_REF,EBA_ATY(EBA_mi679) - Reference,4034868948470850090_REF,EBA_ATY(EBA_mi679) - Reference
ECB,8386035556766474584_REF,EBA_ATY(EBA_mi501) - Reference,8386035556766474584_REF,EBA_ATY(EBA_mi501) - Reference
ECB,14530696220134357986_REF,EBA_ATY(EBA_mi65) - Reference,14530696220134357986_REF,EBA_ATY(EBA_mi65) - Reference
ECB,MTRCS_F_04.09_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.09,MTRCS_F_04.09_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.09
ECB,MTRCS_F_13.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.03,MTRCS_F_13.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.03
ECB,2296479326008667036_REF,EBA_ATY(EBA_mi164) - Reference,2296479326008667036_REF,EBA_ATY(EBA_mi164) - Reference
ECB,17077482325396553192_REF,EBA_ATY(EBA_mi43) - Reference,17077482325396553192_REF,EBA_ATY(EBA_mi43) - Reference
ECB,17220670634258440943_REF,EBA_ATY(EBA_md62) - Reference,17220670634258440943_REF,EBA_ATY(EBA_md62) - Reference
ECB,15213274140460021143_REF,EBA_ATY(EBA_md72) - Reference,15213274140460021143_REF,EBA_ATY(EBA_md72) - Reference
ECB,MTRCS_F_15.00.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_15.00.a,MTRCS_F_15.00.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_15.00.a
ECB,MTRCS_F_47.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_47.00,MTRCS_F_47.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_47.00
ECB,MTRCS_F_04.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.06,MTRCS_F_04.06_MTRCS_REF,Variable Set for MTRCS of the Cube F_04.06
ECB,16615736267809646416_REF,EBA_ATY(EBA_md239) - Reference,16615736267809646416_REF,EBA_ATY(EBA_md239) - Reference
ECB,MTRCS_F_20.05.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.05.a,MTRCS_F_20.05.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.05.a
ECB,10625761857040475626_REF,EBA_ATY(EBA_md67) - Reference,10625761857040475626_REF,EBA_ATY(EBA_md67) - Reference
ECB,MTRCS_F_25.01.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.01.a,MTRCS_F_25.01.a_MTRCS_REF,Variable Set for MTRCS of the Cube F_25.01.a
ECB,14242093643207006424_REF,EBA_ATY(EBA_md83) - Reference,14242093643207006424_REF,EBA_ATY(EBA_md83) - Reference
ECB,909255488769815556_REF,EBA_ATY(EBA_mi504) - Reference,909255488769815556_REF,EBA_ATY(EBA_mi504) - Reference
ECB,4117253993722026055_REF,EBA_ATY(EBA_ii694) - Reference,4117253993722026055_REF,EBA_ATY(EBA_ii694) - Reference
ECB,MTRCS_F_12.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_12.00,MTRCS_F_12.00_MTRCS_REF,Variable Set for MTRCS of the Cube F_12.00
ECB,MTRCS_F_20.05.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.05.b,MTRCS_F_20.05.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_20.05.b
ECB,MTRCS_F_18.02.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.02.c,MTRCS_F_18.02.c_MTRCS_REF,Variable Set for MTRCS of the Cube F_18.02.c
ECB,MTRCS_F_13.02.1.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.02.1.b,MTRCS_F_13.02.1.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_13.02.1.b
ECB,MTRCS_F_31.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_31.01,MTRCS_F_31.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_31.01
ECB,9767750558645521852_REF,EBA_ATY(EBA_mi691) - Reference,9767750558645521852_REF,EBA_ATY(EBA_mi691) - Reference
ECB,9677777298412393391_REF,EBA_ATY(EBA_md509) - Reference,9677777298412393391_REF,EBA_ATY(EBA_md509) - Reference
ECB,MTRCS_F_30.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_30.01,MTRCS_F_30.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_30.01
ECB,18078116867075660175_REF,EBA_ATY(EBA_md202) - Reference,18078116867075660175_REF,EBA_ATY(EBA_md202) - Reference
ECB,MTRCS_F_16.07.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.07.b,MTRCS_F_16.07.b_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.07.b
ECB,MTRCS_F_24.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_24.01,MTRCS_F_24.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_24.01
ECB,8531648081192822646_REF,EBA_ATY(EBA_md186) - Reference,8531648081192822646_REF,EBA_ATY(EBA_md186) - Reference
ECB,MTRCS_F_16.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.01,MTRCS_F_16.01_MTRCS_REF,Variable Set for MTRCS of the Cube F_16.01
ECB,MTRCS_F_24.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_24.03,MTRCS_F_24.03_MTRCS_REF,Variable Set for MTRCS of the Cube F_24.03
ECB,9348397123312128136_REF,EBA_ATY(EBA_md103) - Reference,9348397123312128136_REF,EBA_ATY(EBA_md103) - Reference
ECB,9611914866463986113_REF,EBA_ATY(EBA_md249) - Reference,9611914866463986113_REF,EBA_ATY(EBA_md249) - Reference
